Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2020-01-02,208.7959442138672,208.8058918375868,205.302414699591,205.78015882073373,12077100
2020-01-03,207.69114685058594,209.41302733101944,205.97921399369764,206.238004077988,11188400
2020-01-06,211.60272216796875,211.78187051732047,205.55124097651958,205.73038932587127,17058900
2020-01-07,212.060546875,213.57342090562022,210.75669443031993,211.82168241930964,14912400
2020-01-08,214.21041870117188,215.22563820234075,211.61266142776498,212.00083135656322,13475000
2020-01-09,217.27598571777344,217.35561227049277,215.26545702644307,216.51954106054566,12642800
2020-01-10,217.037109375,218.8485793058094,216.4001121307267,218.17176119096214,12119400
2020-01-13,220.86904907226562,220.9287651891354,218.18171750264293,218.56988744950831,14463400
2020-01-14,218.03240966796875,221.33684317971068,217.60443404355067,220.5704509179999,13288900
2020-01-15,220.1125946044922,220.64010719625313,219.1073379118784,219.5751343894341,10036500
2020-01-16,220.72970581054688,221.58567225354054,219.35617437738657,221.52595613683127,10015300
2020-01-17,221.09796142578125,221.24725171492378,219.49551317773475,220.9884768180062,15905900
2020-01-21,220.4012451171875,221.32687527177663,218.0921207616,221.11786886980354,14275800
2020-01-22,220.2818145751953,221.7050992807162,220.2419937068497,221.26716085218317,12212800
2020-01-23,218.7291259765625,220.45102168291515,218.2414342292888,219.7144874693024,11195000
2020-01-24,216.91766357421875,220.73964680087644,215.09624613326204,219.76424815377564,11905800
2020-01-27,213.862060546875,215.04648080078783,211.5031828498223,212.10037438216526,13810700
2020-01-28,216.76837158203125,217.71392741769657,212.5184124760095,215.12611757088712,13413800
2020-01-29,222.18284606933594,223.14829711100327,217.42526978783843,220.40124946328032,33181300
2020-01-30,208.547119140625,210.43820039774826,203.7895427519186,205.56119177429653,48775500
2020-01-31,200.96287536621094,207.71107023003282,200.1168565085857,207.45228012961394,31359900
2020-02-03,203.232177734375,204.17771838927396,201.55010284120308,202.48569587200018,15495600
2020-02-04,208.84571838378906,209.61211067296307,204.23743221196708,205.65076936637377,19628900
2020-02-05,209.1243896484375,211.73209455621011,207.73096302303483,211.5131253454738,12538200
2020-02-06,209.8609161376953,210.1993175647181,208.35798977479377,209.48269384442835,10567500
2020-02-07,211.333984375,211.82169130451058,208.94523340741898,209.3135081040746,12242500
2020-02-10,212.060546875,212.7970810502044,209.67181119483004,210.52777759787963,11856400
2020-02-11,206.2180938720703,209.87087642912405,205.54127578995926,209.20402115778077,25030800
2020-02-12,209.7713623046875,210.2292112207639,206.42712277276263,206.87502406419875,13813700
2020-02-13,212.1401824951172,213.32460276260556,208.19875174834357,208.53716838706288,15396600
2020-02-14,213.17529296875,213.92177478401734,211.65247128058152,212.9961446229473,10741700
2020-02-18,216.7783203125,216.9574686567502,212.39895125522258,212.54825672930903,15609200
2020-02-19,216.4697723388672,217.2958806788888,215.09624097989015,216.96742686751557,12135100
2020-02-20,213.5734100341797,217.7437572325511,211.95105148154664,215.50431195118117,13109200
2020-02-21,209.1940460205078,213.2350134663179,207.85038793343847,212.4785688786951,14092300
2020-02-24,199.7784423828125,202.69469073574572,197.240401157955,200.8533780258302,23080100
2020-02-25,195.84698486328125,202.5454111618152,195.03082407389752,201.30127472961732,21433500
2020-02-26,196.2749481201172,200.2661472625583,194.57297809311262,196.2650004966838,16524500
2020-02-27,188.85989379882812,194.96114318567538,188.61106653427106,190.92019083922207,21682600
2020-02-28,191.56715393066406,191.83589165444653,180.9671175240087,181.84297925151697,32568900
2020-03-02,195.51852416992188,195.6479192142432,187.9641316633237,193.1198255677862,24949000
2020-03-03,185.0180206298828,196.3147857614367,183.10702884981052,195.29956615766895,27984100
2020-03-04,190.86045837402344,190.93013729753557,185.5156536238536,188.2826115738702,23062500
2020-03-05,184.30137634277344,188.1034642320364,183.0273819642335,185.90382453273224,19333400
2020-03-06,180.24050903320312,182.91789276032495,175.43316458422404,177.49346157116247,24559600
2020-03-09,168.70489501953125,174.17909515290836,164.4151151631478,168.80443200593194,29949000
2020-03-10,177.35414123535156,177.45366303879118,168.70490222523648,173.8506487479301,24517800
2020-03-11,169.44143676757812,175.05497981923568,166.87353731380114,173.19374136381003,20373900
2020-03-12,153.74539184570312,165.81849561381748,153.61599680788407,158.79160088690318,43266300
2020-03-13,169.48123168945312,169.98883386112942,156.86071963923848,162.76289528996463,35028600
2020-03-16,145.3250732421875,158.38353869359048,142.42873536288815,151.60548629159945,39120400
2020-03-17,148.7190704345703,153.21787141166993,139.34326138391765,150.0328856174796,34255600
2020-03-18,146.27061462402344,147.48487760938986,136.45686745757558,139.09443018403474,37553100
2020-03-19,152.41168212890625,159.1797716276007,144.12075578707334,145.93221038975346,39862300
2020-03-20,149.0276336669922,158.5228913921021,147.30575310273773,155.2881366786974,32568400
2020-03-23,147.4052734375,151.5955159495197,141.58270953634096,148.95795309455292,29830800
2020-03-24,160.22486877441406,160.55332262880194,151.85433004861494,154.481945696505,30440400
2020-03-25,155.47723388671875,162.22542805261037,152.3420012567321,158.17451291612159,35184300
2020-03-26,162.57379150390625,163.23069918213113,156.28344562789644,157.507671619343,26556800
2020-03-27,156.0544891357422,159.33901182494623,154.0240654879343,157.4578784500618,24879900
2020-03-30,165.17153930664062,165.96778961058044,157.31855124829713,158.43329256148604,22515200
2020-03-31,166.01754760742188,170.12816353356015,163.42973808000806,164.70373241089197,23676300
2020-04-01,158.85134887695312,163.37999342987356,157.29865382162922,160.86186245632155,19507600
2020-04-02,157.44793701171875,160.59311717399154,155.18858127374065,158.35367186892188,20886300
2020-04-03,153.4567413330078,157.1692550072165,150.12246514317698,156.41281041288232,25983300
2020-04-06,164.7734375,165.42038239099023,157.76645238014177,159.39875882501565,28453600
2020-04-07,168.03802490234375,172.5766316369002,165.23124615548303,170.98413111832824,31411900
2020-04-08,173.4624786376953,174.17910244559133,166.95316343438785,170.4466931074715,21664200
2020-04-09,174.3682098388672,176.24934349704938,170.7651956290778,175.07487082007398,23534300
2020-04-13,173.97007751464844,174.17909911596095,168.65513036369802,172.85533614021418,19355400
2020-04-14,177.33421325683594,180.3798565480623,175.79148117761952,178.14041116484162,21011800
2020-04-15,176.1398468017578,177.35412507847326,172.00932024859716,174.3681978774768,17423000
2020-04-16,175.4232177734375,177.21477707750196,171.70075650761524,177.11524009891647,23593200
2020-04-17,178.39920043945312,179.4343151740126,175.831301255752,178.35937957242533,20974800
2020-04-20,177.40391540527344,179.65330870616447,175.94080968171988,176.57780695551637,16110700
2020-04-21,169.99879455566406,174.55731198207238,167.55032752706842,174.4279169412668,24850500
2020-04-22,181.42494201660156,183.91321477323393,177.30436293910685,177.6129063309754,33242000
2020-04-23,184.26158142089844,186.1725731002809,182.29085843732526,183.216503812133,21426600
2020-04-24,189.17840576171875,189.51680720691496,179.98174431557817,182.3704800533545,28792000
2020-04-27,186.62045288085938,192.84113464355468,186.53087870840727,191.75625138907134,29197800
2020-04-28,182.05198669433594,188.31247409856712,181.70362244293133,187.77501388002332,21731000
2020-04-29,193.27908325195312,195.98632531267825,189.10873554858563,190.0343657537774,45954500
2020-04-30,203.74972534179688,208.70636023218432,200.62445548574865,205.9493498702122,46230100
2020-05-01,201.32118225097656,206.30767553165344,198.11628563304635,200.6543269554362,30415600
2020-05-04,204.29713439941406,204.94409440774302,197.82762543939134,199.26087293125784,19250700
2020-05-05,206.09866333007812,209.3931340323651,205.5313298512808,206.04889483746598,21071200
2020-05-06,207.49208068847656,210.60740290220983,205.69057372212853,207.14371644303657,21857000
2020-05-07,210.26898193359375,210.60739854884713,208.05939465390895,210.16946014210447,15152000
2020-05-08,211.35389709472656,212.20986354293584,209.86093341905072,211.2444124843552,12506000
2020-05-11,212.1799774169922,213.99144719004357,209.3831613976249,209.90072635952686,12911900
2020-05-12,209.11444091796875,214.27013459187316,209.01490393644792,212.28946408241274,14704600
